FoliageArthID,BeatSheetFK,TaxonLevel,Taxon,TotalMass,TaxonID,NumberWeighed,TreeFK,Date,Checks
105206,131097,genus,Camponotus,25.4,154194,1,FEK,5/1/2022,2
105211,131100,family,Anyphaenidae,7.9,881342,1,FEI,5/1/2022,2
105212,131100,family,Anyphaenidae,0.3,871515,1,FEI,5/1/2022,2
105215,131106,order,Hymenoptera,0.1,NA,1,FDT,5/1/2022,2
105217,131108,family,Anyphaenidae,4.6,881342,1,FDS,5/1/2022,2
105218,131109,family,Anyphaenidae,1.6,NA,1,FDU,5/1/2022,2
105219,131109,family,Miridae,2.2,NA,1,FDU,5/1/2022,2
105221,131112,family,Anyphaenidae,1.4,871515,1,FDP,5/1/2022,2
105224,131114,family,Anyphaenidae,2.7,881342,1,FDM,5/1/2022,2
105225,131114,family,Anyphaenidae,4.2,881342,2,FDM,5/1/2022,2
105244,131128,family,Philodromidae,2.1,871533,1,BWZ,5/2/2022,2
105247,131130,family,Tenebrionidae,0.2,NA,1,BWV,5/2/2022,2
105250,131131,family,Berytidae,0.8,107642,1,BWS,5/2/2022,2
105256,131138,family,Miridae,0.8,NA,1,BXS,5/2/2022,2
105262,131142,genus,Formica,9.4,NA,1,BYS,5/2/2022,2
105272,131151,family,Anyphaenidae,5.6,881342,1,FDN,5/3/2022,2
105273,131152,family,Anyphaenidae,9.7,881342,1,FDP,5/3/2022,2
105274,131153,species,Prenolepis imparis,2.7,577971,2,FDO,5/3/2022,2
105276,131154,genus,Leiobunum,6.2,NA,1,FDQ,5/3/2022,2
105277,131155,species,Prenolepis imparis,3.6,577971,3,FDM,5/3/2022,2
105278,131155,species,Arrenodes minutus,29.2,904027,1,FDM,5/3/2022,2
105279,131155,family,Anyphaenidae,2.5,871515,1,FDM,5/3/2022,2
105285,131161,genus,Camponotus,2.2,154194,1,FDZ,5/3/2022,2
105287,131162,species,Microtonus sericans,1.3,NA,1,FDY,5/3/2022,2
105288,131162,species,Microtonus sericans,1.3,NA,1,FDY,5/3/2022,2
105291,131164,genus,Formica,9.3,,1,FDW,5/3/2022,2
105292,131165,species,Microtonus sericans,0.8,NA,1,FDX,5/3/2022,2
105294,131167,species,Prenolepis imparis,3,577971,2,FEI,5/3/2022,2
105298,131170,species,Prenolepis imparis,1.9,577971,1,FEK,5/3/2022,2
105306,131175,family,Anyphaenidae,6.8,881342,1,FEZ,5/3/2022,2
205220,131111,family,Anyphaenidae,NA,881342,1,FDN,5/1/2022,2
205221,131111,family,Ptinidae,NA,114472,1,FDN,5/1/2022,2
105307,131177,genus,Camponotus,4.1,154194,1,BYW,5/4/2022,2
105312,131180,genus,Formica,2.6,,1,BYX,5/4/2022,2
105314,131183,genus,Formica,11.1,,1,BYP,5/4/2022,2
105321,131190,family,Buprestidae,4.9,114968,1,BXT,5/4/2022,2
105336,131208,species,Prenolepis imparis,4.6,577971,3,FEI,5/5/2022,1
105340,131214,family,Tenebrionidae,0.8,114419,1,FDY,5/5/2022,1
105342,131215,genus,Paratrechina,3.6,154224,1,FDZ,5/5/2022,1
105345,131222,species,Prenolepis imparis,1,577971,1,FDQ,5/5/2022,1
105347,131225,species,Prenolepis imparis,0.7,577971,1,FDO,5/5/2022,1
105348,131225,family,Conopidae,5.5,141828,1,FDO,5/5/2022,1
105349,131226,family,Anyphaenidae,2.3,871515,1,FDV,5/5/2022,1
105350,131226,family,Anyphaenidae,3.2,871515,1,FDV,5/5/2022,1
105439,131321,family,Anyphaenidae,9.1,881342,1,BWY,5/6/2022,1
105442,131325,family,Saldidae,0.8,104063,1,BXT,5/6/2022,1
105448,131330,genus,Formica,7.8,154211,1,BYS,5/6/2022,1
105449,131332,family,Anyphaenidae,2.8,871515,1,BYP,5/6/2022,NA
105450,131333,species,Ptosima gibbicollis,16.8,809008,1,BYO,5/6/2022,1
105454,131336,genus,Formica,8.3,154211,1,BYV,5/6/2022,1
105521,131424,family,Anyphaenidae,2.7,871515,1,DBM,5/8/2022,1
105525,131427,family,Chloropidae,1.8,147644,1,DBO,5/8/2022,1
205532,131434,family,Anyphaenidae,0.7,871515,1,DCI,5/8/2022,1
105533,131434,family,Anyphaenidae,9.9,881342,1,DCI,5/8/2022,1
105538,131437,family,Asilidae,2.2,132394,1,DCG,5/8/2022,1
105540,131438,family,Tenebrionidae,0.7,114419,1,DCL,5/8/2022,1
105542,131439,family,Melandryidae,0.1,114452,1,DCM,5/8/2022,1
105544,131440,family,Melandryidae,1.7,114452,1,DCK,5/8/2022,1
105545,131442,genus,Formica,7.9,154211,1,DCO,5/8/2022,1
105547,131443,species,Prenolepis imparis,1.1,577971,1,DCW,5/8/2022,1
105549,131443,species,Banasa calva,92,108764,1,DCW,5/8/2022,1
105550,131445,species,Prenolepis imparis,2.2,577971,2,DCY,5/8/2022,1
105551,131445,family,Anyphaenidae,7.4,871515,2,DCY,5/8/2022,1
105552,131446,family,Melandryidae,1.1,114452,1,DCX,5/8/2022,1
105587,131474,family,Tenebrionidae,0.4,114419,1,DCU,5/10/2022,1
105588,131474,genus,Prenolepis imparis,0.8,577971,1,DCU,5/10/2022,1
105624,131509,family,Anyphaenidae,13.4,881342,1,DCJ,5/10/2022,1
105656,131534,family,Culicidae,NA,125930,1,DCA,5/10/2022,NA
105659,131538,family,Tephritidae,0.6,142604,1,DCE,5/10/2022,1
105683,131566,family,Anyphaenidae,3.7,871515,1,DBL,5/10/2022,1
106254,132049,species,Prenolepis imparis,1.7,577971,2,DCY,5/10/2022,1
105755,131613,genus,Camponotus,13,154194,1,DBL,5/12/2022,1
105759,131618,genus,Camponotus,4.8,154194,1,DCE,5/12/2022,1
105766,131623,family,Phalangiidae,14.1,1012454,1,DCI,5/12/2022,1
105767,131624,family,Phalangiidae,8,1012454,1,DCF,5/12/2022,1
105768,131626,genus,Formica,5.9,154211,1,DCH,5/12/2022,1
105769,131628,family,Phalangiidae,18.2,1012454,1,DCM,5/12/2022,1
106022,131878,species,Boisea trivittata,1.2,108529,1,JAP,5/15/2022,1
106030,131885,genus,Camponotus,2.8,154194,1,JAS,5/15/2022,1
106036,131887,family,Clubionidae,3.9,871518,3,JAU,5/15/2022,1
106040,131889,species,Prenolepis imparis,0.1,577971,1,JAW,5/15/2022,1
106042,131891,genus,Camponotus,3.3,154194,1,JAY,5/15/2022,1
106054,131901,family,Phalangiidae,17.5,1012454,1,JBN,5/15/2022,1
106170,131983,family,Anyphaenidae,1.8,871515,1,IRQ,5/16/2022,1
106171,131984,genus,Camponotus,2.2,154194,1,IRO,5/16/2022,1
106186,131998,family,Anyphaenidae,8.4,881342,1,ISA,5/16/2022,1
106190,132003,genus,Camponotus,2.1,154194,1,ISD,5/16/2022,1
106199,132006,family,Anyphaenidae,2.6,871515,1,ISG,5/16/2022,1
106205,132010,family,Anyphaenidae,3.7,871515,1,ISF,5/16/2022,1
106208,132012,genus,Formica,14,154211,2,ISJ,5/16/2022,1
106213,132015,family,Phalangiidae,20.4,1012454,1,ISL,5/16/2022,1
106484,132215,family,Phalangiidae,31.2,1012454,1,JBN,5/17/2022,1
106486,132215,family,Phalangiidae,5.9,1012454,1,JBN,5/17/2022,1
106522,132238,family,Anyphaenidae,3.9,871515,1,JAX,5/17/2022,1
106523,132239,family,Phalangiidae,17.4,1012454,1,JAW,5/17/2022,1
106550,132250,genus,Camponotus,2.3,154194,1,JAS,5/17/2022,1
206767,132399,genus,Camponotus,17.9,154194,1,ISJ,5/18/2022,1
106768,132399,genus,Formica,10,154211,1,ISJ,5/18/2022,1
106785,132408,species,Prenolepis imparis,0.2,577971,1,ISH,5/18/2022,1
106789,132410,species,Prenolepis imparis,0.5,577971,1,ISG,5/18/2022,1
106796,132414,genus,Camponotus,4.2,154194,2,ISD,5/18/2022,1
106846,132452,family,Phalangiidae,53.6,1012454,1,IRO,5/18/2022,1
107344,132731,genus,Camponotus,3.9,154194,1,JAS,5/19/2022,1
107375,132748,family,Phalangiidae,52,1012454,2,JAZ,5/19/2022,NA
107995,133038,family,Tenebrionidae,3.9,114419,1,ISF,5/20/2022,1
107998,133038,family,Anyphaenidae,1.3,871515,1,ISF,5/20/2022,1
108015,133045,genus,Camponotus,2.4,154194,1,ISI,5/20/2022,1
108020,133047,genus,Formica,6.9,154211,1,ISJ,5/20/2022,1
108029,133051,family,Anyphaenidae,3.2,871515,1,ISL,5/20/2022,1
108229,133243,family,Meloidae,0.8,114387,1,CLY,5/22/2022,1
108235,133246,family,Tachinidae,6.7,152643,1,CLV,5/22/2022,1
108258,133256,family,Berytidae,0.4,107642,1,CNA,5/22/2022,1
108261,133257,species,Plecia nearctica,3.1,121315,1,CNC,5/22/2022,1
108272,133259,species,Mantis religiosa,6.4,666619,2,CMZ,5/22/2022,1
108284,133263,family,Torymidae,0.3,153968,1,CND,5/22/2022,1
108295,133268,species,Boisea trivittata,0.6,108529,1,CNL,5/22/2022,1
108296,133268,family,Berytidae,0.5,107642,1,CNL,5/22/2022,1
108301,133273,genus,Formica,3.4,154211,1,CNH,5/22/2022,1
109186,133697,species,Mantis religiosa,11.1,666619,3,CMZ,5/24/2022,1
109568,133853,family,Forficulidae,14.9,102456,1,BYW,5/25/2022,1
109581,133859,family,Stratiomyidae,1.6,130150,1,BYS,5/25/2022,1
109597,133869,family,Pamphiliidae,0.6,152747,1,BWV,5/25/2022,1
109867,134001,family,Aeolothripidae,0,103350,1,CLS,5/26/2022,1
109892,134007,family,Chalcididae,0,154021,1,CNA,5/26/2022,1
109895,134010,family,Eulophidae,0.5,153770,1,CNC,5/26/2022,1
109957,134046,family,Fulgoridae,1.8,109179,1,CNI,5/26/2022,1
109959,134047,genus,Formica,13.1,154211,1,CNE,5/26/2022,1
110726,134430,genus,Camponotus,2.7,154194,1,BYP,5/27/2022,1
110758,134448,genus,Ponera,1.6,574209,1,BXS,5/27/2022,1
110776,134459,family,Torymidae,0.2,153968,1,BWY,5/27/2022,1
110980,134564,family,Anyphaenidae,8.1,871515,1,FEZ,5/28/2022,1
110988,134567,species,Prenolepis imparis,0.6,577971,1,FEW,5/28/2022,1
110993,134568,species,Prenolepis imparis,0.7,577971,1,FEV,5/28/2022,1
111007,134575,genus,Camponotus,3,154194,1,FEJ,5/28/2022,1
111021,134588,family,Phalangiidae,35.5,1012454,1,FDS,5/28/2022,1
111027,134590,species,Prenolepis imparis,1.1,577971,2,FDV,5/28/2022,1
111035,134596,species,Prenolepis imparis,1,577971,1,FDY,5/28/2022,1
111037,134596,family,Phalangiidae,10.4,1012454,1,FDY,5/28/2022,1
111038,134596,family,Philodromidae,0.7,871533,1,FDY,5/28/2022,1
111042,134599,family,Anyphaenidae,13.8,881342,1,FDM,5/28/2022,1
111044,134602,genus,Paratrechina,0.3,154224,1,FDP,5/28/2022,1
111045,134602,family,Stenotrachelidae,1.8,678376,1,FDP,5/28/2022,1
111088,134624,genus,Lipoptena,1.5,152650,1,BYQ,5/29/2022,1
111093,134625,family,Anyphaenidae,4.3,871515,1,BYS,5/29/2022,1
111100,134631,genus,Formica,3.3,154211,1,BYW,5/29/2022,1
111122,134651,family,Anyphaenidae,4.8,871515,1,FDM,5/30/2022,1
111125,134653,family,Anyphaenidae,4.3,871515,1,FDN,5/30/2022,1
111134,134661,genus,Camponotus,2.7,154194,1,FDZ,5/30/2022,1
111153,134676,species,Prenolepis imparis,0.8,577971,1,FEH,5/30/2022,1
111159,134678,family,Pentatomidae,93.3,108628,1,FEI,5/30/2022,1
112033,135115,family,Phalangiidae,49.5,1012454,1,FEY,6/1/2022,1
112099,135156,genus,Camponotus,2.9,154194,1,FDR,6/1/2022,1
112119,135166,genus,Camponotus,2.8,154194,1,FDS,6/1/2022,1
112121,135166,family,Anyphaenidae,5,871515,1,FDS,6/1/2022,1
112124,135170,species,Prenolepis imparis,1.2,577971,2,FDV,6/1/2022,1
112144,135179,genus,Formica,6.3,154211,1,FDY,6/1/2022,1
112145,135179,species,Prenolepis imparis,1,577971,1,FDY,6/1/2022,1
212168,135189,species,Prenolepis imparis,1.1,577971,1,FDZ,6/1/2022,1
114007,136171,family,Anyphaenidae,7.6,871515,1,DCW,6/6/2022,1
114013,136177,family,Tenebrionidae,0.7,114419,1,DCK,6/6/2022,1
114043,136201,species,Prenolepis imparis,1.7,577971,1,DCC,6/6/2022,1
114085,136235,genus,Formica,10.3,154211,1,DBL,6/6/2022,1
114092,136240,family,Anyphaenidae,0.2,871515,1,DBP,6/6/2022,1
114769,136672,family,Anyphaenidae,4.8,871515,1,DBO,6/8/2022,1
114777,136677,genus,Camponotus,3.5,154194,1,DBM,6/8/2022,1
114787,136682,species,Phyllopalpus pulchellus,2.5,650554,1,DBP,6/8/2022,1
114797,136691,family,Anyphaenidae,0.4,871515,1,DCE,6/8/2022,1
114798,136692,genus,Camponotus,3.4,154194,1,DCD,6/8/2022,1
114799,136693,genus,Formica,4.7,154211,1,DCA,6/8/2022,1
114802,136695,family,Tenebrionidae,0.3,114419,1,DCJ,6/8/2022,1
114807,136696,family,Anyphaenidae,0.3,871515,1,DCI,6/8/2022,1
114819,136701,family,Phalangiidae,57,1012454,1,DCL,6/8/2022,1
114823,136702,family,Anyphaenidae,8.5,871515,1,DCO,6/8/2022,1
114826,136704,species,Prosapia bicincta,40.9,956002,1,DCM,6/8/2022,1
114827,136705,family,Anyphaenidae,0.5,871515,1,EQL,6/8/2022,1
115751,137175,family,Anyphaenidae,0.5,871515,1,DCU,6/10/2022,1
115755,137177,family,Anyphaenidae,NA,871515,0,DCW,6/10/2022,1
115757,137178,family,Cerambycidae,3.4,114497,1,DCY,6/10/2022,1
115779,137200,family,Phalangiidae,42.8,1012454,1,EQL,6/10/2022,1
115796,137208,family,Phalangiidae,40.2,1012454,1,DCH,6/10/2022,1
215802,137213,family,Anyphaenidae,0.5,871515,1,DCD,6/10/2022,1
115805,137215,family,Anyphaenidae,0,871515,1,DCA,6/10/2022,1
115807,137218,species,Phyllopalpus pulchellus,1.6,650554,1,DBL,6/10/2022,1
115910,137310,genus,Formica,11.2,154211,1,JAT,6/12/2022,1
115912,137310,family,Anyphaenidae,1.1,871515,1,JAT,6/12/2022,1
115916,137311,family,Anyphaenidae,0.3,871515,1,JAU,6/12/2022,1
115917,137313,family,Noctuidae,9.8,117318,1,JAR,6/12/2022,1
115922,137314,family,Phalangiidae,42.3,1012454,1,JAQ,6/12/2022,1
215923,137315,family,Anyphaenidae,0.8,871515,1,JAV,6/12/2022,1
115924,137316,family,Anyphaenidae,0.6,871515,1,JAW,6/12/2022,1
115935,137320,family,Phalangiidae,52.8,1012454,1,JBA,6/12/2022,1
115962,137333,family,Anyphaenidae,0.2,871515,1,JBN,6/12/2022,1
116890,137866,family,Anyphaenidae,10.3,871515,1,JAR,6/14/2022,1
116912,137878,species,Prenolepis imparis,0.6,577971,1,JBA,6/14/2022,1
116916,137880,species,Camponotus pennsylvanicus,24.6,154198,2,JBB,6/14/2022,1
117571,138260,family,Anyphaenidae,0.8,871515,1,JBO,6/16/2022,1
117600,138278,genus,Camponotus,3.9,154194,1,JBB,6/16/2022,1
117604,138278,family,Anyphaenidae,0.2,871515,1,JBB,6/16/2022,1
117620,138288,family,Anyphaenidae,0.7,871515,1,JAZ,6/16/2022,1
117633,138292,family,Anyphaenidae,10.3,871515,1,JAX,6/16/2022,1
117634,138292,family,Anyphaenidae,0.4,871515,1,JAX,6/16/2022,1
117636,138293,family,Phalangiidae,27.8,1012454,1,JAW,6/16/2022,1
117637,138293,family,Anyphaenidae,0.4,871515,1,JAW,6/16/2022,1
117650,138299,family,Anyphaenidae,0.7,871515,1,JAQ,6/16/2022,1
118553,138821,family,Anyphaenidae,0.5,871515,1,IRS,6/20/2022,1
118556,138822,family,Anyphaenidae,1.3,871515,2,IRV,6/20/2022,1
118574,138834,family,Anyphaenidae,0.5,871515,1,IRU,6/20/2022,1
118595,138854,family,Bostrichidae,0.8,114476,1,ISD,6/20/2022,1
118648,138880,genus,Formica,6,154211,1,ISJ,6/20/2022,1
118654,138884,genus,Formica,6.8,154211,1,ISL,6/20/2022,1
112196,135201,family,Ptinidae,1.5,114472,1,FDQ,6/1/2022,1
112207,135207,genus,Formica,6,154211,1,FDN,6/1/2022,1
112224,135218,genus,Paratrechina,3.7,154224,1,FDO,6/1/2022,1
124225,142463,species,Brachyponera chinensis,1.2,1,1,JBL,7/7/2022,1
124948,142880,family,Anyphaenidae,1.2,871515,1,DCG,7/8/2022,1
125053,142975,family,Anyphaenidae,NA,871515,0,JAU,7/9/2022,1
125260,143139,family,Anyphaenidae,4.7,871515,1,ISC,7/10/2022,1
125264,143142,family,Anyphaenidae,1.1,871515,1,IRT,7/10/2022,1
127076,144413,family,Anyphaenidae,1.9,871515,1,CNA,7/16/2022,1
217722,138333,family,Anyphaenidae,0.4,871515,NA,JAP,6/16/2022,1
127879,145133,family,Anyphaenidae,NA,871515,0,CNH,7/20/2022,1
105246,131129,order,Araneae,0.7,,1,BWW,5/2/2022,2
105258,131139,family,Theridiidae,4,,1,BXR,5/2/2022,2
105271,131151,genus,Leucauge,6,847764,2,FDN,5/3/2022,2
105299,131170,family,Araneidae,2.5,82737,1,FEK,5/3/2022,2
105447,131329,family,Tetragnathidae,3.1,847764,1,BYQ,5/6/2022,1
105519,131423,family,Tetragnathidae,17,847764,1,DBL,5/8/2022,1
105527,131429,family,Araneidae,0.6,82737,1,DCE,5/8/2022,1
105532,131434,family,Araneidae,0.8,82737,1,DCI,5/8/2022,1
105543,131439,family,Araneidae,0.7,82737,1,DCM,5/8/2022,1
105771,131631,family,Araneidae,3.3,82737,1,DCO,5/12/2022,NA
106025,131883,family,Tetragnathidae,0.1,847764,1,JAQ,5/15/2022,1
106041,131890,family,Araneidae,1.5,82737,1,JAX,5/15/2022,1
106043,131893,family,Tetragnathidae,11.7,847764,1,JBB,5/15/2022,1
106187,131999,family,Araneidae,1.3,82737,1,IRY,5/16/2022,1
206193,132004,family,Tetragnathidae,3.4,847764,1,ISE,5/16/2022,1
106196,132005,family,Araneidae,0.5,82737,1,ISH,5/16/2022,1
106481,132214,family,Araneidae,5.5,82737,1,JBM,5/17/2022,1
106551,132250,family,Araneidae,1.2,82737,1,JAS,5/17/2022,1
106780,132406,family,Araneidae,0.8,82737,1,ISL,5/18/2022,1
106848,132453,family,Araneidae,1.7,82737,1,IRQ,5/18/2022,1
107323,132721,family,Araneidae,0.5,82737,1,JAN,5/19/2022,1
107334,132726,family,Araneidae,4.1,82737,1,JAU,5/19/2022,1
107351,132732,family,Araneidae,1.7,82737,1,JAR,5/19/2022,1
107358,132736,family,Araneidae,6.2,82737,1,JAX,5/19/2022,1
207363,232739,family,Theridiidae,0.5,82740,1,JBC,5/19/2022,1
107962,133019,family,Araneidae,2.6,82737,1,IRP,5/20/2022,1
107966,133022,family,Theridiidae,0.9,82740,1,IRW,5/20/2022,1
108017,133045,family,Araneidae,1.8,82737,1,ISI,5/20/2022,1
108234,133245,family,Araneidae,1,82737,1,CLX,5/22/2022,1
109853,133996,family,Araneidae,0.6,82737,1,CLQ,5/26/2022,1
110712,134419,family,Theridiidae,1.6,82740,1,BYX,5/27/2022,1
110982,134565,family,Tetragnathidae,7.7,847764,1,FEY,5/28/2022,1
110984,134566,family,Theridiidae,2.7,82740,1,FEX,5/28/2022,1
110990,134567,family,Tetragnathidae,NA,847764,0,FEW,5/28/2022,1
110991,134568,family,Araneidae,18.2,82737,1,FEV,5/28/2022,1
110996,134568,family,Araneidae,2.5,82737,1,FEV,5/28/2022,1
111043,134601,family,Araneidae,1.8,82737,1,FDN,5/28/2022,1
111046,134602,family,Araneidae,0,82737,1,FDP,5/28/2022,1
111106,134632,family,Tetragnathidae,0.7,847764,1,BYT,5/29/2022,1
111149,134674,family,Araneidae,2.2,82737,1,FEJ,5/30/2022,1
111155,134676,family,Araneidae,2.2,82737,1,FEH,5/30/2022,1
111173,134691,family,Araneidae,0.6,82737,1,FEZ,5/30/2022,1
112125,135170,genus,Leucauge,6.2,848656,1,FDV,6/1/2022,1
112169,135189,genus,Leucauge,8.4,848656,1,FDZ,6/1/2022,1
112170,135189,family,Araneidae,2.4,82737,2,FDZ,6/1/2022,1
114027,136189,family,Araneidae,0.9,82737,1,DCO,6/6/2022,1
115772,137193,family,Araneidae,0.9,82737,1,DCO,6/10/2022,1
115782,137200,family,Theridiidae,5.9,82740,1,EQL,6/10/2022,1
115931,137319,family,Araneidae,2.9,82737,1,JAZ,6/12/2022,1
115937,137320,family,Araneidae,0.4,82737,1,JBA,6/12/2022,1
115942,137321,family,Araneidae,3.5,82737,1,JBB,6/12/2022,1
116873,137859,family,Theridiidae,0.7,82740,1,JAL,6/14/2022,1
116892,137866,species,Verrucosa arenata,4.4,870185,1,JAR,6/14/2022,1
116900,137872,family,Araneidae,7.1,82737,1,JAW,6/14/2022,1
116923,137886,family,Araneidae,3.5,82737,1,JBE,6/14/2022,1
117667,138308,family,Araneidae,2.8,82737,1,JAT,6/16/2022,1
118541,138816,family,Araneidae,3.4,82737,1,IRQ,6/20/2022,1
120848,140138,family,Araneidae,6.7,82737,1,IRP,6/24/2022,1
120997,140257,family,Araneidae,43.4,82737,1,CNA,6/25/2022,1
122902,141492,family,Araneidae,NA,82737,0,BWQ,7/1/2022,NA
127069,144409,family,Araneidae,2.6,82737,1,CMZ,7/16/2022,1
